family,training_mode,seed,epoch,checkpoint_sha256,raw_paired_target_mse,raw_paired_to_unrelated_ratio,raw_global_variance,raw_effective_rank,projected_paired_target_mse,projected_paired_to_unrelated_ratio,projected_global_variance,projected_effective_rank,passable_history_accuracy,blocked_history_accuracy,correct_rule_switch_rate,prediction_pair_mse,difference_alignment_cosine,encoder_parameter_drift,projector_parameter_drift,predictor_parameter_drift
original,original_h3,3072,0,7d141b86cca49145444a69bff89c71ede69e8cf8252bfb933e656c3e2e962b54,0.0819278571711086,1.1719666387278638,0.03590575134474258,9.676650485654884,1.3376622094562822,1.12501478799619,0.6166156614698052,11.849588936389278,0.1,0.9,0.0,0.0012420226833288431,0.12423351737809706,0.0,0.0,0.0
formal_joint,encoder_predictor_joint_update,3072,4,d446d0d19fa72b077f273f63c31ef25128f1a681b870f6819e5012f76e482dd6,0.0004762390767864702,0.007990636297277759,0.030067150121340775,9.460576290064976,0.009176273966064153,0.0047998496504688785,0.9573622895045281,25.171045350877975,0.21333333333333335,0.7966666666666666,0.016666666666666666,6.834955267570108e-05,0.07089239369937807,0.035453196203236705,0.028320871404634275,0.08320845015821063
formal_fixed,fixed_encoder_and_projector,3072,4,3766eace9efa4ffa026c7dd10fe2757050a4577e671cca14dbf049ebbae7bab5,0.0819278571711086,1.1719666387278638,0.03590575134474258,9.676650485654884,1.3376622094562822,1.12501478799619,0.6166156614698052,11.849588936389278,1.0,1.0,1.0,1.30361882211214,0.9667071365939913,0.0,0.0,0.09823106590656534
formal_passable_only,encoder_predictor_joint_update_single_rule,3072,4,b46cd7e81b9213b6b55fa4bdfa49ec81fc473bd37935880703b3da7cdf0d5d95,0.025580242572203423,0.32338522386086477,0.03974421357523255,11.485036300822479,1.0132112011249175,0.5522604487327681,0.9177420925238221,31.0938464750318,1.0,0.0,0.0,7.949821831535278e-05,0.07801965197639833,0.03171659501319698,0.02614785267530523,0.07779070142540805
formal_blocked_only,encoder_predictor_joint_update_single_rule,3072,4,dbd2b0b890290f447c237b1740569a989df08b7e332a26307f267714ca267607,0.08329419365966044,0.7955215233936165,0.05110826546619374,11.935658279181997,1.7432746411387363,0.942931630945232,0.8857207671600656,32.64447405751405,0.0,1.0,0.0,0.0031794167243169103,0.41164461348436876,0.027477721424667242,0.02567993431847377,0.07391487592560293
formal_joint,encoder_predictor_joint_update,4096,4,a7a1bbe06139d262efd4ca5699523b6a3ffe19b6a096ea5ab110c298221bf5b3,0.0004831596593951504,0.009111741794059446,0.026874316052768403,9.53342382819786,0.01041884488924967,0.005490080691668583,0.9545225660125894,24.368926097644994,0.26,0.7366666666666667,0.01,7.021566618797014e-05,0.02682729522917172,0.03527547172643843,0.028118720277655926,0.08187004467090671
formal_fixed,fixed_encoder_and_projector,4096,4,3f15b7e1c4dc4e52db15d5db796c0d4ded759a9c3813ec0e5da6c199bbb6c8bc,0.0819278571711086,1.1719666387278638,0.03590575134474258,9.676650485654884,1.3376622094562822,1.12501478799619,0.6166156614698052,11.849588936389278,1.0,1.0,1.0,1.3082514679975925,0.9667320185776714,0.0,0.0,0.09802149073191786
formal_passable_only,encoder_predictor_joint_update_single_rule,4096,4,b9087cf5e67d0c9831cee9e8406d05a0f6ca3ecf02d526d2714fc321c4cc0a4a,0.029615757403282452,0.3627034809716003,0.041064373141905926,11.12036339753797,1.0919003580028206,0.5891079464005889,0.9267074876026324,30.4497086693062,1.0,0.0,0.0,6.206501030356511e-05,0.087170648396174,0.03155564010723789,0.02627404179813126,0.07739895162235091
formal_blocked_only,encoder_predictor_joint_update_single_rule,4096,4,031cb59e6a350ecd3dbcb133bba220dae7fc5e8e60fef15f5cc5bca7c9d6b296,0.07965910698245862,0.8201808675982654,0.04790789216934414,11.885352313546349,1.7693749716208944,0.9344796942097849,0.9187156253591512,31.721694810672613,0.0,1.0,0.0,0.0032975423040555478,0.4267554889521108,0.027805911079907927,0.025729078167769807,0.07393372321017748
formal_joint,encoder_predictor_joint_update,5120,4,9512eeb738b5c263efc8a39b41ffb8bddaaf68c59b402cb38571a54433f385ee,0.00048636290659478834,0.00822972303722529,0.029908842154553382,9.3064986544544,0.009130301599102079,0.004893270387140892,0.9360778759085845,24.135872764076616,0.21666666666666667,0.7966666666666666,0.02,6.547106188373389e-05,0.03835469203251749,0.03545271597613115,0.028245803079832474,0.0838761155793219
formal_fixed,fixed_encoder_and_projector,5120,4,9d270481e0d122d753c5075aea2b8b89a29c32d508a9c9be0b4598d65288ac08,0.0819278571711086,1.1719666387278638,0.03590575134474258,9.676650485654884,1.3376622094562822,1.12501478799619,0.6166156614698052,11.849588936389278,1.0,1.0,1.0,1.2959520230045911,0.9666557405117839,0.0,0.0,0.09801797131418089
formal_passable_only,encoder_predictor_joint_update_single_rule,5120,4,75f787d747a54adab375f260f627073cb5b316e82924df3ca1911feaa7723670,0.03202209859396079,0.38339204266626054,0.042015089215106945,11.138148328619922,1.103208880675014,0.5907654763708123,0.9315838216836698,30.303902002522673,1.0,0.0,0.0,6.445860703847766e-05,0.09406252214724668,0.03156825824637667,0.025907953499864387,0.07718630446688257
formal_blocked_only,encoder_predictor_joint_update_single_rule,5120,4,11e28ed7efada8080e2c1d9d483e3290e36d22292f55089a7354864f353cad25,0.09795012264508161,0.8350153620736763,0.057405167742429,11.851472394285281,1.766056165501567,0.9324329676587151,0.9103044220951519,31.334903081729347,0.0,1.0,0.0,0.0030484317775771467,0.42904815208436625,0.02772214081575668,0.025696813669896897,0.07361876759029289
